date,precipitation,max_temp,min_temp,temp_range,above_80F,above_90F,above_95F,above_98F,max_temp_f,max_temp_above_avg,min_temp_f,min_temp_above_avg,day_of_year,month,day_of_week,quarter,week_of_year,is_summer,is_winter,is_spring,is_fall,is_summer_vacation,precipitation_inches,is_rainy_day,is_dry_day,max_temp_ma_3,max_temp_ma_7,max_temp_ma_14,max_temp_ma_30,min_temp_ma_3,min_temp_ma_7,min_temp_ma_14,max_temp_ema_7,max_temp_ema_14,max_temp_lag_1,max_temp_lag_2,max_temp_lag_7,min_temp_lag_1,min_temp_lag_2,min_temp_lag_7,max_temp_diff_1,max_temp_diff_7,min_temp_diff_1,min_temp_diff_7,temp_mean,temp_range_ma_7,precipitation_ma_3,precipitation_ma_7,had_precipitation,heavy_precipitation,below_32F,below_20F,max_temp_volatility_7,max_temp_volatility_30,min_temp_volatility_7,max_temp_trend_7,max_temp_trend_14,target_high_temp_yes,target_low_temp_yes
2025-07-25,0.86,3.6700000000000004,2.44,1.2300000000000004,0,0,0,0,38.606,True,36.392,True,206,7,4,3,30,1,0,0,0,1,0.03385826771653543,0,0,3.6700000000000004,3.6700000000000004,3.6700000000000004,3.6700000000000004,2.44,2.44,2.44,3.6700000000000004,3.6700000000000004,,,,,,,,,,,3.055,1.2300000000000004,0.86,0.86,1,0,0,0,,,,,,0,1
2025-07-26,0.0,3.1100000000000003,2.3899999999999997,0.7200000000000006,0,0,0,0,37.598,False,36.302,True,207,7,5,3,30,1,0,0,0,1,0.0,0,1,3.3900000000000006,3.3900000000000006,3.3900000000000006,3.3900000000000006,2.415,2.415,2.415,3.3500000000000005,3.3700000000000006,3.6700000000000004,,,2.44,,,-0.56,,-0.050000000000000266,,2.75,0.9750000000000005,0.43,0.43,0,0,0,0,0.3959797974644668,0.3959797974644668,0.03535533905932772,,,0,1
2025-07-27,0.89,3.28,2.2199999999999998,1.06,0,0,0,0,37.903999999999996,False,35.996,False,208,7,6,3,30,1,0,0,0,1,0.03503937007874016,0,0,3.3533333333333335,3.3533333333333335,3.3533333333333335,3.3533333333333335,2.3499999999999996,2.3499999999999996,2.3499999999999996,3.31972972972973,3.335619694397284,3.1100000000000003,3.6700000000000004,,2.3899999999999997,2.44,,0.16999999999999948,,-0.16999999999999993,,2.75,1.0033333333333336,0.5833333333333334,0.5833333333333334,1,0,0,0,0.28711205710198495,0.28711205710198495,0.11532562594670824,,,1,0
